,GHI(W/m2),DHI(W/m2),DNI(W/m2),TEMPERATURE,R.HUMIDITY,WINDSPEED,CABLE#1,CABLE#2,CABLE#3,CABLE#4,CABLE#5,TX(LV)
12124,461.0,373.0,83.0,32.4,35.0,33.5,3.747362,4.517548,4.344908,4.634076,3.203811,20.837648
12125,178.0,187.0,3.0,33.0,34.0,29.5,1.229912,1.251967,1.216933,1.253809,0.848126,6.4823
12126,310.0,144.0,338.0,32.0,36.0,25.9,2.163879,1.878273,2.27777,2.070016,1.198531,10.37168
12128,76.0,46.0,178.0,23.0,78.0,18.4,0.592141,0.549042,0.599829,0.593104,0.327083,2.380772
12129,318.0,95.0,393.0,25.0,69.0,11.2,2.619527,2.521613,2.698095,2.405641,1.668822,11.715284
12130,539.0,112.0,483.0,26.0,64.0,25.9,4.755477,4.664691,4.918193,4.800025,2.375207,21.285516
12131,721.0,132.0,520.0,28.0,55.0,37.1,6.602937,6.403653,6.710135,5.54029,3.268851,28.569264
12132,810.0,245.0,429.0,30.0,43.0,42.5,7.218079,6.97589,7.394713,6.037708,3.577188,32.340784
12133,884.0,261.0,440.0,31.0,38.0,48.2,7.548762,7.400064,7.696108,6.349287,3.755129,33.70796
12134,783.0,326.0,342.0,31.4,34.0,51.8,6.755278,6.599889,6.566898,5.582564,3.363739,29.724292
12135,269.0,271.0,22.0,33.0,30.0,44.6,2.848352,2.097467,3.591778,1.984009,1.126079,12.658164
12136,263.0,245.0,24.0,33.3,29.0,40.7,6.344524,4.018881,6.497072,4.311572,1.115261,22.86484
12137,399.0,210.0,247.0,32.0,34.0,33.5,3.369558,1.838929,3.125259,1.764913,1.297897,10.48954
12138,321.0,133.0,359.0,33.0,32.0,44.6,2.049627,2.076122,2.138061,1.87168,1.111131,9.004504
12140,41.0,40.0,27.0,22.1,74.0,20.2,0.336836,0.261624,0.328575,0.28831,0.137174,0.966452
12141,241.0,116.0,251.0,23.9,65.0,22.0,1.979806,1.908662,2.031909,2.002098,0.827195,8.627352
12142,511.0,152.0,417.0,25.8,60.0,33.5,4.480528,4.413674,4.606506,4.516052,1.943174,20.106916
12143,728.0,132.0,529.0,28.0,48.0,37.1,6.525674,6.359611,6.682166,6.439946,2.768075,29.653576
12144,876.0,141.0,554.0,30.0,40.0,48.2,7.612652,7.512843,7.788687,6.502459,4.387211,35.381572
12145,985.0,177.0,551.0,31.0,36.0,44.6,8.31273,8.157643,8.554166,7.041844,4.715556,38.516648
12146,985.0,957.0,70.0,31.9,33.0,32.8,8.368299,8.200248,8.553843,7.167348,5.477146,39.24738
12147,888.0,937.0,48.0,31.6,34.0,31.3,7.710251,7.442911,7.900697,6.461524,4.869197,34.910132
12148,799.0,853.0,0.0,33.0,31.0,37.1,5.832608,5.963331,4.99477,5.472531,4.243012,26.87208
12149,377.0,392.0,0.0,33.0,32.0,33.5,2.331026,2.611652,3.547502,3.445057,2.094677,14.449636
12150,89.0,91.0,0.0,31.0,36.0,18.4,0.873357,0.829722,0.84189,0.683909,0.562686,3.936524
12152,11.0,12.0,27.0,23.0,78.0,18.4,0.130738,0.065414,0.130573,0.065537,0.065578,0.0
