,GHI(W/m2),DHI(W/m2),DNI(W/m2),TEMPERATURE,R.HUMIDITY,WINDSPEED,CABLE#1,CABLE#2,CABLE#3,CABLE#4,CABLE#5,TX(LV)
2375,185.0,192.0,0.0,29.1,64.79,25.6,1.79,1.83,1.78,1.8,1.22,8.09
2376,338.0,147.0,588.0,28.1,69.08,23.0,2.66,2.61,2.64,2.59,1.58,12.75
2378,1.0,0.0,1.0,22.9,94.68,13.7,0.0,0,0.0,0.0,0.0,0.0
2379,141.0,42.0,471.0,23.8,89.12,16.2,1.16,1.18,1.17,1.21,0.76,5.73
2380,435.0,70.0,707.0,25.8,77.65,21.2,3.98,3.97,3.96,4.0,2.58,18.76
2381,698.0,139.0,792.0,28.6,70.45,18.4,6.36,6.52,6.34,6.45,4.29,30.29
2382,852.0,241.0,676.0,29.5,62.92,26.6,8.22,8.43,8.2,8.75,4.31,39.22
2383,1092.0,192.0,884.0,30.7,57.66,27.4,9.01,9.09,8.88,8.84,5.97,43.33
2384,369.0,363.0,6.0,32.2,52.95,29.5,7.92,3.66,8.63,4.21,2.22,27.41
2385,530.0,317.0,192.0,31.1,53.33,27.4,9.25,9.96,9.23,8.68,6.29,44.29
2386,1030.0,243.0,870.0,30.7,53.56,27.4,8.62,8.8,8.65,8.84,5.86,42.19
2387,156.0,166.0,4.0,34.1,48.17,14.8,0.99,1.14,1.01,1.17,0.87,5.82
2388,567.0,106.0,766.0,29.5,57.74,26.6,1.14,2.93,1.4,2.94,2.86,11.6
2389,269.0,64.0,637.0,28.4,62.68,23.8,1.74,1.76,1.69,1.72,1.1,7.97
2391,0.0,0.0,1.0,22.5,96.41,12.2,0.0,0,0.0,0.0,0.0,0.0
2392,49.0,54.0,4.0,23.8,90.22,16.2,0.42,0.46,0.41,0.41,0.26,1.98
2393,449.0,82.0,714.0,26.0,79.11,20.9,3.95,4.14,3.89,4.16,2.68,18.24
2394,627.0,207.0,593.0,28.1,69.08,18.4,4.8,4.96,4.84,4.98,3.73,24.44
2395,724.0,219.0,574.0,29.8,59.98,23.0,7.1,7.36,6.99,7.2,4.66,33.71
2396,498.0,225.0,258.0,30.8,55.26,23.4,5.33,4.6,5.92,4.97,3.2,25.03
2397,546.0,472.0,55.0,32.2,48.27,14.8,5.29,5.19,5.31,5.23,3.37,25.6
2398,654.0,487.0,149.0,31.4,51.46,23.8,5.92,6.08,5.73,6.09,3.94,28.66
2399,543.0,392.0,164.0,31.3,51.44,23.8,5.24,5.37,5.18,5.33,3.29,24.89
2400,619.0,158.0,611.0,33.7,46.62,22.3,6.61,6.24,6.52,6.22,4.0,30.34
2401,619.0,179.0,734.0,30.2,55.46,24.5,4.63,4.84,4.7,4.91,3.2,22.79
2402,253.0,87.0,530.0,28.8,62.0,22.7,1.85,1.76,1.85,1.76,1.13,8.3
2404,0.0,0.0,0.0,22.7,95.83,13.7,0.0,0,0.0,0.0,0.0,0.0
2405,137.0,48.0,432.0,24.3,88.62,19.8,1.19,1.15,1.17,1.22,0.74,5.3
2406,425.0,74.0,679.0,26.7,76.84,27.0,3.88,3.86,3.86,3.89,2.46,18.29
2407,637.0,97.0,773.0,28.7,70.04,44.3,6.2,6.15,6.19,6.2,4.02,28.8
2408,835.0,108.0,827.0,30.5,59.05,29.5,7.78,7.76,7.79,7.81,5.07,36.4
2409,1114.0,267.0,745.0,31.9,53.86,29.2,5.72,3.62,6.08,5.52,4.51,26.47
2410,1324.0,375.0,850.0,32.2,54.59,33.5,8.98,9.65,9.8,9.22,6.68,45.31
2411,354.0,278.0,57.0,33.3,49.46,28.1,7.46,2.15,8.42,2.68,4.55,26.21
2412,680.0,161.0,751.0,33.0,50.92,28.4,7.94,8,7.93,8.02,5.24,38.56
2413,780.0,180.0,783.0,34.7,43.28,27.7,4.93,2.82,3.57,1.87,3.29,16.34
2414,342.0,127.0,362.0,31.1,57.41,28.4,1.78,3.3,1.28,3.27,1.82,11.72
2415,252.0,61.0,595.0,29.6,63.33,26.6,1.63,1.56,1.56,1.56,1.07,8.04
2417,0.0,0.0,0.0,23.5,93.55,15.8,0.0,0,0.0,0.0,0.0,0.0
2418,120.0,56.0,287.0,24.5,88.1,19.1,1.11,1.07,1.09,1.06,0.66,5.16
2419,381.0,121.0,503.0,26.4,79.17,24.1,2.45,4.1,1.26,3.45,2.66,13.86
2420,625.0,132.0,697.0,28.2,69.95,40.7,4.34,6.11,6.07,6.01,3.87,27.39
2421,442.0,307.0,128.0,29.9,62.25,27.4,4.27,2.91,5.38,2.83,1.7,17.46
2422,631.0,452.0,140.0,31.0,58.09,27.4,9.4,5.78,7.81,4.98,3.92,32.27
2423,616.0,526.0,66.0,31.6,57.52,29.5,5.0,5.34,4.97,6.9,4.32,27.67
2424,502.0,478.0,11.0,32.0,54.54,25.9,4.63,4.68,4.92,5.3,3.92,24.04
2425,441.0,348.0,307.0,31.9,54.85,24.8,9.92,9.95,9.85,9.12,5.26,45.35
2426,133.0,138.0,10.0,33.7,54.3,13.0,6.67,3.19,6.62,2.77,0.69,21.05
2427,558.0,133.0,731.0,29.0,65.97,24.5,4.5,4.39,4.37,4.13,2.1,19.16
2428,119.0,69.0,128.0,26.7,78.26,23.0,1.5,1.5,0.89,1.87,0.86,6.44
2430,0.0,0.0,0.0,21.9,90.64,14.4,0.0,0,0.0,0.0,0.0,0.0
2431,126.0,63.0,187.0,23.2,86.38,17.3,1.12,1.04,1.08,1.07,0.69,5.26
2432,181.0,183.0,1.0,25.3,80.48,22.0,1.9,1.76,1.2,1.78,1.2,10.02
2433,843.0,331.0,728.0,28.1,73.42,22.3,4.28,6.73,4.0,5.93,3.69,25.17
2434,367.0,319.0,44.0,28.3,69.12,28.8,9.45,9.02,8.26,6.02,2.95,37.43
2435,822.0,585.0,221.0,28.8,65.12,30.6,8.21,6.1,6.57,5.91,3.82,31.45
2436,624.0,606.0,3.0,31.1,61.76,37.1,6.51,6.3,7.21,6.44,4.08,31.21
2437,556.0,516.0,23.0,29.7,59.22,30.6,7.25,5.71,8.83,5.97,3.45,31.75
2438,522.0,521.0,9.0,30.1,58.23,30.2,5.21,5.23,5.37,5.21,3.18,25.93
2439,470.0,258.0,324.0,32.7,54.72,18.4,4.94,2.66,7.01,5.64,2.09,23.38
2440,518.0,112.0,611.0,29.2,62.47,29.2,4.52,2.43,4.54,3.81,2.55,18.93
2441,280.0,63.0,619.0,28.0,67.4,26.3,1.83,1.83,1.82,1.83,1.24,9.33
2443,0.0,0.0,0.0,22.2,92.92,12.6,0.0,0,0.0,0.0,0.0,0.0
2444,124.0,38.0,346.0,23.5,87.48,16.9,1.06,1.07,1.06,1.08,0.62,4.97
2445,409.0,62.0,690.0,25.8,76.24,24.8,3.69,3.65,3.66,3.61,2.34,17.07
2446,780.0,232.0,740.0,28.2,69.53,37.1,6.51,7.08,6.41,6.96,4.84,32.51
2447,361.0,349.0,11.0,29.3,62.88,30.2,3.5,3.88,3.71,4.84,2.78,19.21
2448,378.0,370.0,0.0,30.6,59.43,31.0,3.46,3.57,3.38,3.55,2.38,16.01
2449,664.0,455.0,167.0,30.2,61.93,14.8,5.5,6.37,6.33,7.9,4.78,31.85
2450,997.0,142.0,862.0,31.5,56.8,31.3,9.13,8.99,9.06,8.98,5.82,42.55
2451,1037.0,352.0,741.0,31.4,56.43,31.3,6.51,7.76,6.31,8.69,5.61,36.07
2452,679.0,204.0,611.0,31.7,57.9,18.4,7.25,7.29,7.15,7.12,4.62,33.47
2453,587.0,96.0,768.0,29.7,61.07,29.5,4.71,4.68,4.65,4.72,3.09,22.09
2454,305.0,64.0,652.0,28.4,66.25,25.6,2.08,2.07,2.08,2.07,1.33,10.23
2456,1.0,0.0,1.0,22.6,92.94,14.4,0.0,0,0.0,0.0,0.0,0.0
2457,99.0,40.0,194.0,24.2,85.42,20.5,0.82,0.83,0.8,0.8,0.54,3.04
2458,398.0,195.0,424.0,26.5,76.34,28.8,2.82,3.7,3.23,3.71,2.65,16.71
2459,597.0,83.0,758.0,28.4,67.89,32.0,5.8,5.79,5.78,5.78,3.72,26.59
2460,657.0,510.0,150.0,29.8,61.85,33.1,5.52,6.03,6.09,7.7,4.41,30.9
2461,448.0,443.0,2.0,30.8,58.04,33.5,3.74,3.94,3.84,4.04,2.74,18.69
2462,333.0,299.0,29.0,32.6,51.13,14.8,9.31,8.5,9.36,8.25,3.16,40.0
2463,1264.0,367.0,840.0,31.6,54.11,33.1,9.87,9.92,9.68,9.65,5.99,46.96
2464,514.0,317.0,221.0,31.4,54.4,33.1,7.6,8.38,7.19,6.71,2.49,32.29
2465,814.0,178.0,824.0,33.7,48.07,11.2,6.79,6.82,6.8,6.9,4.51,32.6
2466,262.0,117.0,238.0,29.7,58.86,31.0,3.77,4.66,3.61,4.49,2.5,19.89
2467,286.0,84.0,553.0,28.3,64.23,27.0,1.84,1.83,1.9,1.19,1.19,9.38
2469,1.0,0.0,0.0,22.9,88.51,23.8,0.0,0,0.0,0.0,0.0,0.0
2470,99.0,48.0,235.0,24.1,81.82,25.9,0.0,0,0.0,0.0,0.0,0.0
2471,374.0,77.0,616.0,26.1,69.56,31.0,0.0,0,0.0,0.0,0.0,0.0
2472,599.0,96.0,747.0,28.7,67.95,25.9,0.0,0,0.0,0.0,0.0,0.0
2473,790.0,120.0,787.0,29.8,54.0,33.5,0.0,0,0.0,0.0,0.0,0.0
2474,1120.0,322.0,794.0,31.2,49.84,33.5,0.0,0,0.0,0.0,0.0,0.0
2475,368.0,352.0,14.0,32.2,50.72,46.4,0.0,0,0.0,0.0,0.0,0.0
2476,447.0,301.0,153.0,32.5,46.3,33.1,0.0,0,0.0,0.0,0.0,0.0
2477,540.0,371.0,163.0,32.4,46.85,32.8,8.68,7.68,6.9,7.0,3.52,33.76
2478,856.0,303.0,716.0,34.1,42.85,11.2,6.0,7.1,5.27,6.8,3.33,29.42
2479,146.0,153.0,3.0,30.5,53.18,32.0,1.78,1.54,1.76,1.5,0.87,8.25
2480,293.0,90.0,552.0,29.0,59.43,29.9,2.03,2,1.98,2.0,1.34,9.92
2482,0.0,0.0,0.0,22.5,86.85,25.9,0.0,0,0.0,0.0,0.0,0.0
2483,77.0,79.0,1.0,23.2,84.28,27.4,0.67,0.72,0.67,0.71,0.47,3.02
2484,411.0,202.0,425.0,24.7,77.01,31.7,3.25,3.85,3.52,3.91,2.68,17.3
2485,460.0,374.0,118.0,27.6,68.99,9.4,6.31,6.05,5.8,5.76,3.15,26.99
2486,518.0,496.0,19.0,27.4,64.83,37.4,4.99,5.28,5.03,5.3,3.32,24.59
2487,739.0,540.0,175.0,28.2,62.64,37.8,7.12,6.45,6.55,6.39,4.6,31.28
2488,1211.0,338.0,804.0,32.6,49.59,37.1,9.56,9.7,9.13,10.18,6.11,46.08
2489,556.0,528.0,23.0,28.9,61.27,34.9,5.98,5.32,6.37,6.11,3.51,28.24
2490,917.0,305.0,664.0,28.9,61.65,33.1,7.68,8.05,7.92,8.17,5.27,38.19
2491,961.0,266.0,764.0,33.6,45.17,29.5,7.33,7.34,6.81,7.39,4.69,34.06
2492,505.0,201.0,520.0,28.2,64.6,30.2,4.45,4.53,4.5,4.19,1.67,20.13
2493,134.0,78.0,181.0,27.2,69.34,25.9,1.64,1.54,1.64,1.63,0.71,7.45
2495,0.0,0.0,1.0,22.0,92.34,19.4,0.0,0,0.0,0.0,0.0,0.0
2496,141.0,42.0,446.0,23.1,87.44,20.5,1.19,1.16,1.18,1.17,0.76,5.35
2497,430.0,59.0,710.0,25.2,75.67,28.8,3.85,3.82,3.83,3.84,2.47,17.77
2498,635.0,71.0,800.0,28.6,55.76,29.5,6.1,6.09,6.09,6.11,3.95,28.9
2499,817.0,76.0,846.0,28.5,62.71,32.8,7.64,7.67,7.63,7.63,4.94,36.09
2500,962.0,79.0,872.0,29.6,59.57,32.8,8.51,8.5,8.5,8.51,5.52,40.03
2501,1077.0,116.0,874.0,32.7,48.4,37.1,8.81,8.86,8.8,8.9,5.79,42.03
2502,997.0,142.0,862.0,30.6,57.64,31.3,9.13,8.99,9.06,8.98,5.82,42.55
2503,947.0,191.0,846.0,30.4,58.66,31.0,7.97,8.03,7.94,8.07,5.15,37.9
2504,718.0,106.0,818.0,33.1,49.72,22.3,6.27,6.22,6.24,6.24,4.06,29.37
2505,547.0,98.0,747.0,28.9,63.96,28.4,4.1,4.13,4.07,4.15,2.65,19.32
2506,249.0,66.0,587.0,27.8,68.19,25.6,0.42,1.03,0.48,1.21,0.99,4.6
2508,0.0,0.0,1.0,22.9,90.15,23.0,0.0,0,0.0,0.0,0.0,0.0
2509,142.0,41.0,452.0,23.5,87.48,24.1,1.17,1.21,1.13,1.16,0.75,5.28
2510,424.0,69.0,683.0,24.7,80.9,25.9,3.85,3.83,3.84,3.83,2.48,18.2
2511,627.0,77.0,781.0,28.2,63.81,48.2,6.03,6.02,6.02,6.04,3.86,28.52
2512,813.0,83.0,835.0,27.9,66.55,30.2,7.6,7.63,7.58,7.6,4.9,35.52
2513,964.0,91.0,862.0,29.4,61.0,29.5,8.49,8.51,8.49,8.53,5.53,40.69
2514,1047.0,86.0,879.0,32.2,50.72,29.5,8.71,8.75,8.69,8.76,5.68,41.65
2515,1007.0,116.0,873.0,31.2,54.35,27.0,8.45,8.48,8.43,8.52,5.47,40.66
2516,880.0,115.0,854.0,31.2,54.35,26.3,7.58,7.66,7.6,7.67,5.0,36.8
2517,287.0,181.0,165.0,34.7,44.63,14.8,5.41,5.91,5.63,4.19,4.45,26.57
2518,552.0,117.0,697.0,30.0,58.57,24.8,4.36,4.38,2.97,3.95,2.36,18.24
2519,99.0,87.0,55.0,28.8,63.55,22.0,1.97,1.9,1.94,1.91,1.09,8.89
2521,1.0,0.0,1.0,22.7,95.25,15.1,0.0,0,0.0,0.0,0.0,0.0
2522,121.0,43.0,397.0,23.6,90.75,19.1,0.98,0.96,1.01,0.97,0.62,3.94
2523,400.0,74.0,645.0,25.1,81.94,24.8,3.52,3.51,3.52,3.54,2.27,15.98
2524,611.0,92.0,747.0,28.6,68.34,14.8,5.8,5.81,5.85,5.82,3.77,26.97
2525,783.0,116.0,777.0,28.2,66.21,27.4,7.24,7.33,7.24,7.31,4.72,34.34
2526,954.0,107.0,841.0,29.4,61.76,27.0,8.42,8.38,8.35,8.44,5.44,39.67
2527,1031.0,119.0,832.0,32.7,50.85,46.4,8.62,8.54,8.55,8.63,5.57,40.61
2528,869.0,229.0,614.0,30.5,56.91,25.6,7.95,7.48,8.02,7.68,4.9,37.34
2529,864.0,116.0,824.0,30.6,56.24,24.5,7.5,7.52,7.47,7.54,4.9,35.81
2530,735.0,110.0,814.0,35.2,42.1,18.4,6.39,6.32,6.34,6.29,4.07,30.46
2531,545.0,83.0,750.0,29.8,58.88,21.6,4.19,4.12,4.19,4.15,2.69,20.53
2532,264.0,72.0,564.0,28.8,63.55,18.0,1.66,1.69,1.67,1.69,1.12,7.76
2534,0.0,0.0,0.0,21.7,96.98,9.7,0.0,0,0.0,0.0,0.0,0.0
2535,30.0,33.0,1.0,23.3,89.08,14.4,0.21,0.22,0.21,0.22,0.13,0.97
2536,434.0,122.0,612.0,25.9,71.7,19.4,3.0,2.64,3.15,3.05,2.45,14.21
2537,342.0,256.0,182.0,28.1,74.31,11.2,7.07,3.98,5.96,2.07,2.48,22.04
2538,854.0,166.0,795.0,30.6,50.94,23.0,7.6,7.69,7.09,7.73,5.05,36.21
2539,1032.0,201.0,827.0,32.3,45.11,23.4,8.58,8.73,8.57,8.73,5.8,40.59
2540,1049.0,126.0,847.0,32.6,53.37,11.2,8.62,8.65,8.61,8.66,5.61,40.54
2541,1033.0,158.0,848.0,34.3,38.83,22.7,8.45,8.46,8.43,8.49,5.59,40.45
2542,899.0,153.0,824.0,34.4,38.62,23.0,7.88,7.8,7.84,7.79,5.04,37.24
2543,776.0,171.0,787.0,35.2,45.32,18.4,6.87,6.75,6.83,6.74,4.29,31.56
2544,539.0,107.0,703.0,32.6,44.63,23.0,4.16,4.1,4.16,4.11,2.67,20.15
2545,257.0,76.0,548.0,30.8,51.95,21.2,1.65,1.69,1.68,1.68,1.09,8.23
2547,0.0,0.0,0.0,23.8,95.86,11.9,0.0,0,0.0,0.0,0.0,0.0
2548,73.0,72.0,10.0,25.0,90.3,16.6,0.814,0.799,0.799,0.834,0.479,2.993
2549,284.0,261.0,46.0,26.7,80.18,21.6,2.818,2.872,2.519,2.636,1.787,12.752
2550,600.0,406.0,264.0,28.6,74.39,14.8,6.39,6.111,6.02,7.0,5.05,31.28
2551,861.0,175.0,789.0,30.2,62.31,25.9,7.705,7.568,7.63,6.98,5.1,35.97
2552,1244.0,399.0,827.0,31.5,57.15,27.0,2.333,3.528,2.399,4.246,5.53,17.702
2553,1075.0,152.0,845.0,32.1,54.9,18.4,8.552,8.824,8.337,8.804,5.694,41.18
2554,1211.0,309.0,863.0,32.5,51.74,28.4,9.389,5.31,9.084,8.465,5.47,39.435
2555,381.0,310.0,76.0,31.8,52.85,28.8,8.336,4.85,8.13,3.67,1.93,28.14
2556,134.0,137.0,54.0,32.6,60.98,18.4,1.45,1.407,1.506,1.378,0.86,6.647
2557,307.0,234.0,126.0,29.8,59.98,26.3,4.71,2.31,5.12,2.76,1.5,17.07
2558,266.0,66.0,591.0,28.5,66.67,23.8,1.7,1.71,1.71,1.72,1.16,8.72
2560,0.0,0.0,0.0,22.4,92.93,17.3,0.0,0,0.0,0.0,0.0,0.0
2561,103.0,60.0,233.0,23.6,87.48,21.6,0.879,0.85,0.915,0.85,0.548,3.3
2562,187.0,161.0,53.0,25.6,73.9,28.4,2.06,2.96,2.32,2.43,2.28,12.21
2563,450.0,294.0,220.0,28.1,68.25,14.8,4.5,3.79,5.29,5.77,3.56,23.08
2564,926.0,382.0,615.0,29.6,51.64,30.2,4.96,5.69,5.98,5.17,4.8,26.66
2565,1015.0,511.0,492.0,31.1,45.35,29.9,7.5,6.34,7.28,7.77,5.48,35.78
2566,400.0,384.0,3.0,32.6,43.8,13.0,3.86,3.66,3.92,3.66,2.45,18.24
2567,1093.0,278.0,782.0,33.0,38.23,28.8,9.52,9.24,9.58,8.96,5.73,44.57
2568,855.0,118.0,820.0,33.1,36.83,28.4,7.47,7.48,7.45,7.39,4.89,35.81
2569,714.0,135.0,761.0,33.2,47.06,18.4,6.11,6.15,6.08,6.12,4.01,29.61
2570,525.0,105.0,689.0,31.7,39.61,27.7,4.036,4.027,4.04,4.029,2.64,19.35
2571,98.0,73.0,115.0,30.0,44.77,25.2,1.56,1.58,1.53,1.61,0.97,7.61
2573,0.0,0.0,1.0,20.9,89.45,20.9,0.0,0,0.0,0.0,0.0,0.0
2574,130.0,59.0,342.0,22.5,81.62,24.5,1.08,1.07,1.07,1.07,0.675,5.185
2575,407.0,95.0,602.0,25.2,68.95,30.2,3.65,3.6,3.66,3.62,2.37,17.02
2576,623.0,105.0,736.0,27.6,56.92,32.0,5.88,5.92,5.88,5.9,3.82,27.58
2577,801.0,123.0,778.0,29.6,48.5,32.0,7.48,7.45,7.41,7.42,4.84,34.86
2578,957.0,155.0,793.0,31.2,43.97,31.3,8.43,8.41,8.42,8.4,5.5,39.95
2579,1065.0,165.0,826.0,32.2,47.68,46.4,8.82,8.76,8.73,8.74,5.69,41.96
2580,1000.0,159.0,825.0,32.9,40.95,30.6,8.459,8.46,8.42,8.449,5.5,40.685
2581,859.0,157.0,796.0,32.9,41.73,30.6,7.44,7.47,7.4,7.49,4.87,35.0
2582,714.0,145.0,760.0,33.2,43.41,14.8,6.01,6.041,6.02,6.025,3.96,29.488
2583,224.0,183.0,80.0,31.5,45.17,29.9,1.43,1.66,1.53,2.18,2.07,8.839
2584,216.0,91.0,414.0,29.8,50.1,28.4,1.437,1.487,1.502,1.439,1.006,7.283
2586,0.0,0.0,0.0,21.2,93.45,17.6,0.0,0,0.0,0.0,0.0,0.0
2587,134.0,53.0,375.0,22.5,85.25,24.1,1.11,1.118,1.12,1.11,0.69,5.04
2588,414.0,91.0,618.0,24.6,67.13,32.4,3.69,3.64,3.68,3.63,2.38,16.92
2589,623.0,98.0,743.0,27.2,66.41,25.9,5.91,5.89,5.9,5.87,3.86,27.77
2590,808.0,104.0,811.0,28.9,44.76,32.8,7.46,7.47,7.45,7.49,4.857,35.805
2591,954.0,102.0,841.0,30.7,38.09,31.3,8.31,8.34,8.3,8.37,5.416,39.86
2592,1040.0,104.0,859.0,31.7,45.23,33.5,8.56,8.62,8.55,8.63,5.61,40.9
2593,976.0,96.0,863.0,33.1,27.15,29.5,8.23,8.27,8.23,8.3,5.38,39.88
2594,794.0,92.0,838.0,33.5,25.01,28.8,7.01,6.97,6.94,6.96,4.57,33.71
2595,652.0,93.0,785.0,34.2,36.9,22.3,5.32,5.29,5.29,5.35,3.47,25.27
2596,430.0,84.0,679.0,32.0,29.28,27.4,3.11,3.107,3.06,3.049,2.04,14.968
2597,142.0,52.0,461.0,30.2,36.5,24.5,0.72,0.73,0.72,0.73,0.48,3.559
2599,1.0,0.0,0.0,20.8,86.15,14.0,0.0,0,0.0,0.0,0.0,0.0
2600,135.0,48.0,398.0,22.8,74.82,19.8,1.11,1.13,1.139,1.12,0.74,5.185
2601,407.0,78.0,636.0,25.4,62.02,24.1,3.54,3.59,3.6,3.58,2.3,16.88
2602,615.0,89.0,744.0,28.2,59.98,18.4,5.78,5.82,5.78,5.81,3.77,27.46
2603,796.0,89.0,812.0,30.4,46.61,26.3,7.36,7.36,7.37,7.33,4.81,34.77
2604,943.0,101.0,834.0,32.5,42.15,26.6,8.22,8.24,8.21,8.23,5.35,38.89
2605,1027.0,104.0,850.0,32.7,48.4,14.8,8.39,8.45,8.38,8.45,5.5,39.86
2606,988.0,134.0,840.0,34.3,39.32,29.5,8.19,8.27,8.2,8.29,5.38,40.0
2607,929.0,215.0,801.0,33.9,40.97,31.0,7.76,7.83,7.81,7.88,5.13,36.94
2608,657.0,153.0,579.0,35.2,42.88,14.8,6.09,6.11,6.1,6.1,3.66,29.13
2609,516.0,88.0,716.0,31.7,47.55,31.0,3.82,3.84,3.83,3.83,2.51,18.55
2610,215.0,98.0,396.0,29.9,54.03,29.2,1.67,1.54,1.71,1.52,0.85,7.425
2612,1.0,0.0,0.0,22.4,83.15,19.8,0.0,0,0.0,0.0,0.0,0.0
2613,50.0,51.0,0.0,24.2,74.12,24.1,0.4,0.47,0.4,0.41,0.27,1.96
2614,503.0,245.0,485.0,26.8,63.9,29.9,5.75,5.05,5.5,4.64,2.88,24.61
2615,345.0,345.0,1.0,27.2,68.49,14.8,3.32,3.37,3.34,3.35,2.2,15.75
2616,486.0,438.0,51.0,30.8,50.67,31.0,5.69,5.21,5.5,5.15,3.16,25.65
2617,761.0,511.0,225.0,32.3,46.24,31.0,8.91,7.65,8.62,8.27,4.59,39.39
2618,627.0,608.0,9.0,30.6,57.29,40.7,8.24,7.58,8.59,7.67,4.67,38.59
2619,562.0,544.0,10.0,33.6,42.72,31.7,6.03,5.47,5.97,5.52,3.52,27.53
2620,524.0,515.0,2.0,33.3,43.99,32.0,6.54,5.89,7.2,5.74,3.27,29.72
2621,271.0,270.0,0.0,31.7,52.82,14.8,3.14,2.87,3.12,2.84,1.8,14.33
2622,233.0,236.0,1.0,30.9,52.3,32.0,2.57,2.42,2.52,2.4,1.49,12.19
2623,138.0,144.0,13.0,29.1,59.45,30.2,1.2,1.2,1.24,1.23,0.81,5.63
2625,1.0,0.0,0.0,23.2,94.11,11.9,0.0,0,0.0,0.0,0.0,0.0
2626,31.0,36.0,0.0,24.6,88.11,22.7,0.29,0.27,0.27,0.27,0.13,1.04
2627,179.0,184.0,1.0,26.4,74.48,33.8,1.78,1.8,1.76,1.85,1.19,8.11
2628,203.0,204.0,0.0,26.6,68.8,11.2,2.08,2.19,2.2,2.25,1.37,10.82
2629,377.0,374.0,1.0,29.6,56.0,35.6,5.43,4.39,4.67,4.03,2.45,21.78
2630,1051.0,331.0,269.0,31.1,50.44,36.0,9.53,8,9.39,8.21,4.97,41.63
2631,1129.0,251.0,798.0,29.7,55.68,11.2,8.96,9.15,9.0,9.13,5.95,43.49
2632,576.0,616.0,54.0,32.7,44.37,35.6,3.77,3.71,3.37,3.86,2.58,17.75
2633,1016.0,322.0,772.0,32.7,44.1,35.3,9.9,9.64,9.3,9.49,6.02,45.8
2634,699.0,125.0,756.0,31.7,49.05,18.4,5.9,5.94,5.92,5.94,3.87,28.52
2635,516.0,116.0,671.0,31.2,47.71,35.3,3.85,3.89,3.87,3.9,2.56,19.23
2636,121.0,82.0,168.0,29.6,52.62,33.8,1.43,1.1,1.45,1.33,0.8,5.42
2638,0.0,0.0,0.0,21.8,92.9,19.4,0.0,0,0.0,0.0,0.0,0.0
2639,144.0,68.0,353.0,23.0,85.83,24.5,1.14,1.12,1.08,1.06,0.76,5.28
2640,421.0,95.0,616.0,25.2,71.13,31.3,3.53,3.7,3.22,3.64,2.4,16.52
2641,618.0,90.0,742.0,28.1,61.85,22.3,5.82,5.81,5.84,5.8,3.78,26.99
2642,800.0,98.0,803.0,29.3,49.66,33.1,7.41,7.39,7.41,7.38,4.84,35.43
2643,966.0,123.0,831.0,31.1,43.39,33.1,8.28,8.31,8.24,8.31,5.46,39.58
2644,1099.0,178.0,844.0,32.2,41.28,37.1,8.67,8.89,8.69,8.92,5.9,42.67
2645,1048.0,200.0,826.0,33.4,35.08,31.0,8.84,8.77,8.64,8.78,5.75,41.7
2646,884.0,180.0,802.0,33.7,33.19,29.9,7.83,7.82,7.77,7.8,5.03,36.87
2647,700.0,125.0,771.0,34.1,36.41,25.9,5.71,5.77,5.81,5.8,3.8,27.79
2648,559.0,163.0,675.0,32.3,36.61,28.4,4.03,4.12,3.15,3.2,2.29,17.61
2649,243.0,98.0,511.0,30.4,45.16,27.0,1.16,0.95,1.33,0.94,0.94,5.82
2651,0.0,0.0,1.0,21.5,89.5,19.4,0.0,0,0.0,0.0,0.0,0.0
2652,143.0,70.0,305.0,22.9,81.67,24.5,1.2,1.2,1.19,1.18,0.75,5.16
2653,419.0,104.0,574.0,25.5,67.31,31.0,3.68,3.67,3.68,3.66,2.35,16.995
2654,618.0,113.0,689.0,27.6,62.9,11.2,5.88,5.86,5.89,5.83,3.81,27.06
2655,800.0,118.0,767.0,29.8,49.17,31.3,7.43,7.42,7.15,7.41,4.83,34.53
2656,946.0,107.0,821.0,31.5,43.5,30.2,8.31,8.32,8.31,8.24,5.35,38.78
2657,1029.0,79.0,867.0,32.2,41.81,40.7,8.53,8.57,8.52,8.56,5.56,40.92
2658,979.0,115.0,851.0,33.5,37.65,28.4,8.18,8.29,8.17,8.2,4.02,38.52
2659,834.0,93.0,84.0,33.6,36.5,28.4,7.31,7.33,7.31,7.32,4.78,34.98
2660,711.0,113.0,798.0,34.2,38.8,13.0,5.85,5.83,5.83,5.596,3.895,27.7
2661,529.0,95.0,740.0,32.1,39.21,28.4,3.7,3.69,3.59,3.66,2.47,18.6
2662,219.0,58.0,556.0,30.5,44.91,27.7,1.27,1.23,1.27,1.27,0.8,5.49
2664,0.0,0.0,1.0,21.7,92.32,19.4,0.0,0,0.0,0.0,0.0,0.0
2665,157.0,64.0,377.0,23.2,83.24,24.5,1.26,1.29,1.27,1.25,0.84,6.06
2666,292.0,156.0,193.0,25.7,68.62,29.5,3.18,3.62,3.38,3.19,2.14,15.32
2667,647.0,104.0,742.0,27.1,68.05,37.1,6.02,5.997,6.03,6.03,3.94,28.05
2668,907.0,200.0,798.0,30.2,46.85,28.4,8.13,8.08,7.23,8.06,5.32,37.53
2669,998.0,149.0,829.0,32.0,40.2,27.4,8.55,8.65,8.56,8.7,5.64,42.03
2670,1025.0,101.0,846.0,32.1,44.21,40.7,8.48,8.52,8.48,8.52,5.55,40.87
